title,type,genres,releaseyear,averagerating,votes
Lore,movie,"{Biography, Drama, Romance}",2013,5.6,21065
About Time,movie,{Documentary},1992,7.5,1129
The Hobbit: The Battle of the Five Armies,movie,"{Comedy, Drama}",2012,5.5,7636
"Batman: The Dark Knight Returns, Part 1",movie,"{Action, Crime, Thriller}",2013,6.2,131232
Polski film,movie,"{Action, Thriller}",1996,3.1,691
Nic proti nicemu,movie,"{Adventure, Animation, Comedy}",2012,6.7,2278
The Confidant,movie,"{Biography, Drama, Music}",2013,7,45876
The Mortal Instruments: City of Bones,movie,{Documentary},2012,7.3,221
DonT Stop,movie,{Documentary},2009,7.4,301
Without Warning: The James Brady Story,movie,"{Drama, Romance, War}",2012,7.1,16131
Angel,movie,"{Comedy, Drama, Fantasy}",2013,7.8,400279
After Lucia,movie,"{Adventure, Fantasy}",2014,7.4,585593
Ernest & Celestine,movie,"{Action, Animation, Crime}",2012,7.9,64308
Un día en el paraíso,movie,{Comedy},2012,6.2,184
Left of the Dial,movie,{Comedy},2011,6.4,35
Barbie: The Princess & the Popstar,movie,"{Comedy, Drama, History}",2012,6.3,258
Nebraska,movie,"{Action, Adventure, Fantasy}",2013,5.8,140065
Paradise: Faith,movie,"{Drama, Music}",2012,6.2,154
A Month in Thailand,movie,{Drama},1991,6.3,306
The Blue Tiger,movie,"{Action, Adventure, Sci-Fi}",2014,6.4,448852
The Hunger Games: Mockingjay - Part 1,movie,{Drama},2005,5,322
The Hunger Games: Mockingjay - Part 2,movie,{Drama},2012,7.1,7119
Mama,movie,"{Adventure, Animation, Comedy}",2012,7.8,22715
Before Midnight,movie,"{Comedy, Romance}",2003,5.7,242
The Butler,movie,{Documentary},2005,6.8,188
Capturing Mary,movie,"{Animation, Family, Musical}",2012,5.9,3099
First Cousin Once Removed,movie,{Drama},2013,7.7,124997
Long Live the Family,movie,{Drama},2012,6.7,5319
Clear History,movie,{Comedy},2012,5.7,638
Scenes from a Marriage,movie,"{Adventure, Comedy, Family}",2012,5.8,142
Miss Evers Boys,movie,"{Action, Adventure, Sci-Fi}",2014,6.6,513871
Tom and Jerry: Robin Hood and His Merry Mouse,movie,"{Action, Adventure, Sci-Fi}",2015,6.6,383885
Jurassic World,movie,"{Fantasy, Horror, Thriller}",2013,6.2,194022
In the Shadow,movie,"{Drama, Romance}",2013,7.9,175844
Trolls,movie,"{Biography, Drama}",2013,7.2,120674
Sekal Has to Die,movie,{Drama},2007,6.7,2147
The Lego Movie,movie,{Documentary},2012,7.5,413
Edge of Tomorrow,movie,"{Crime, Drama}",2011,6.6,155
Smurfs: The Lost Village,movie,{Comedy},2013,6.4,19798
Doraemon: Nobita and the New Steel Troops: ~Winged Angels~,movie,"{Drama, Horror, Thriller}",2013,5.8,150686
Winters Tale,movie,{Drama},1974,8.3,9116
The Education of Mohammad Hussein,movie,"{Drama, War}",1997,7.1,1457
Kings Point,movie,"{Action, Adventure, Animation}",2012,6.3,1394
Mondays at Racine,movie,"{Action, Adventure, Sci-Fi}",2015,6.9,690533
Hold Up!,movie,"{Crime, Drama, Thriller}",2012,7.1,1932
Lóve,movie,"{Adventure, Animation, Comedy}",2016,6.4,94589
A Dark Truth,movie,{Drama},1998,7.3,1050
De Marathon,movie,"{Action, Adventure, Animation}",2014,7.7,395547
Were the Millers,movie,"{Action, Adventure, Sci-Fi}",2014,7.9,756239
No One Dies in Lily Dale,movie,"{Adventure, Animation, Comedy}",2017,6,25022
Fire with Fire,movie,"{Action, Adventure, Animation}",2011,7.9,2238
Haute Cuisine,movie,"{Drama, Fantasy, Mystery}",2014,6.1,57562
In Pursuit of Honor,movie,"{Documentary, Drama, Short}",2013,5.6,126
Kung Fu Panda 3,movie,"{Comedy, Documentary, Drama}",2012,6.6,248
City on Fire,movie,"{Documentary, Family, Short}",2012,7.5,347
Chasing Rainbows,movie,"{Comedy, Crime, Thriller}",2012,6.3,833
Beauty in Trouble,movie,"{Drama, Romance}",2011,6.2,272
Primo,movie,"{Action, Drama, Thriller}",2012,5.6,6343
Justice League,movie,"{Comedy, Drama, Sport}",2012,7.5,7683
"Batman: The Dark Knight Returns, Part 2",movie,"{Comedy, Crime}",2013,7,496481
"Houston, We Have a Problem!",movie,"{Documentary, Drama, History}",2011,5.6,160
Admission,movie,"{Action, Crime, Mystery}",2012,5.6,27798
The 100 Year-Old Man Who Climbed Out the Window and Disappeared,movie,"{Biography, Comedy}",2012,6.4,6990
Triple 9,movie,"{Drama, Western}",1995,7,1785
Getaway,movie,"{Action, Adventure, Animation}",2016,7.1,197090
Prisoners,movie,"{Action, Drama}",1979,4.4,1652
Flight of the Conchords,movie,{Comedy},2012,7,666
Crulic - The Path to Beyond,movie,"{Comedy, Drama}",2006,6.8,1030
The Devils Child,movie,{Drama},2005,7.5,179
Paradise: Hope,movie,"{Action, Adventure, Fantasy}",2017,6.1,484721
Scooby-Doo! Mask of the Blue Falcon,movie,"{Action, Animation, Crime}",2013,8.3,58054
Ambushed,movie,{Comedy},2016,7.8,3715
Boldog új élet,movie,"{Action, Crime, Drama}",2014,5.7,66944
Chance of a Lifetime,movie,"{Comedy, Drama, Romance}",2013,5.7,36497
Oldies But Goldies,movie,"{Adventure, Comedy}",2013,7,43093
August: Osage County,movie,"{Action, Crime, Drama}",2016,6.3,78464
The Angry Birds Movie,movie,"{Action, Thriller}",2013,4.4,25455
Austenland,movie,"{Crime, Drama, Mystery}",2013,8.2,839312
Interstellar,movie,{Comedy},2005,8.6,309
Transcendence,movie,"{Animation, Biography, Documentary}",2011,7.6,828
Fruitvale Station,movie,"{Drama, Horror, Thriller}",1997,4,503
On My Way,movie,{Drama},2013,6.7,5161
Louder Than Bombs,movie,"{Action, Adventure, Animation}",2012,6.6,2278
The Call,movie,"{Action, Drama, Thriller}",1998,5.9,774
The Purge,movie,{Drama},2007,6.6,78
Life According to Sam,movie,"{Comedy, Drama, Romance}",1998,5.8,272
Manhunt: The Inside Story of the Hunt for Bin Laden,movie,"{Adventure, Comedy, Drama}",2012,6.3,115
Valentine Road,movie,"{Comedy, Drama}",2013,7.2,96554
Domestic,movie,"{Action, Adventure, Animation}",2016,6.3,107443
Hank and Asha,movie,"{Comedy, Romance}",2013,6.3,24125
Hotel Transylvania 2,movie,"{Adventure, Drama, Sci-Fi}",2014,8.7,2194783
Night Train to Lisbon,movie,"{Action, Drama, Sci-Fi}",2014,6.2,240862
Doraemon: Nobita and the Island of Miracles ~Animal Adventure~,movie,"{Biography, Crime, Drama}",2013,7.5,86806
I Spy Returns,movie,"{Comedy, Drama}",2013,6.4,2629
How I Live Now,movie,{Drama},2015,6.6,14400
Out of the Furnace,movie,"{Drama, Thriller}",2013,6.7,131210
Superman: Unbound,movie,"{Horror, Sci-Fi, Thriller}",2013,5.7,246912
Homeless: The Motel Kids of Orange County,movie,"{Biography, Documentary, Drama}",2013,8.1,970
In Tahrir Square: 18 Days of Egypts Unfinished Revolution,movie,"{Documentary, History, War}",2013,6.7,1213
Paper Planes,movie,"{Crime, Documentary}",2013,7,2005
Möbius,movie,"{Comedy, Drama, Family}",2012,6.6,593
Inherent Vice,movie,"{Comedy, Romance}",2013,6.6,477
Jappeloup,movie,"{Adventure, Animation, Comedy}",2015,6.6,148154
In Secret,movie,"{Mystery, Romance, Thriller}",2013,6.8,21086
Phil Spector,movie,"{Action, Adventure, Animation}",2012,6.7,690
Gasland Part II,movie,"{Action, Adventure, Comedy}",1994,4.8,401
Lego Batman: The Movie - DC Super Heroes Unite,movie,"{Action, Adventure, Drama}",2013,6.4,32325
Veronica Mars,movie,"{Action, Crime, Drama}",2013,6.7,126924
Hard as Nails,movie,"{Action, Adventure, Animation}",2013,6.6,13952
We Are the Nobles,movie,{Documentary},2010,6.4,450
The Raid 2,movie,"{Adventure, Documentary, History}",2012,7,159
T2 Trainspotting,movie,"{Comedy, Drama, Romance}",2009,5.7,179
Point of Origin,movie,"{Drama, Thriller}",2013,6.1,5859
Justice League: The Flashpoint Paradox,movie,"{Comedy, Crime, Drama}",2014,6.6,112449
Daylight,movie,"{Biography, Drama, Sport}",2013,6.6,1889
Deliver Us from Evil,movie,"{Crime, Drama, Thriller}",2013,6.1,9864
The Gilded Cage,movie,"{Biography, Drama, Music}",2013,6.2,8091
Fall to Grace,movie,{Documentary},2013,7.6,1739
22 Jump Street,movie,"{Action, Adventure, Animation}",2013,6.4,5817
Walk of Shame,movie,"{Crime, Drama, Mystery}",2014,6.7,55217
The Legend of Hercules,movie,{Documentary},2007,5.4,218
The Trials of Ted Haggard,movie,{Comedy},2013,7.3,10752
The Portuguese Falcon,movie,"{Action, Crime, Thriller}",2014,7.9,133450
Star Trek Beyond,movie,"{Comedy, Crime, Drama}",2017,7.1,135072
Whimsical Illusions,movie,"{Crime, Drama, Thriller}",2002,5.8,1557
American Sniper,movie,"{Action, Adventure, Animation}",2013,8.1,61163
Blood Ties,movie,"{Drama, Mystery, Thriller}",2013,7,4207
Third Person,movie,"{Crime, Horror, Mystery}",2014,6.2,87460
The Other Woman,movie,"{Comedy, Drama}",2013,7.2,10750
Lone Survivor,movie,{Documentary},2013,5.9,153
Lock-Up: The Prisoners of Rikers Island,movie,"{Action, Comedy, Crime}",2014,7,414978
Neighbors,movie,{Comedy},2014,6,57677
Collide,movie,"{Action, Adventure, Fantasy}",2014,4.3,56639
Muhammad Alis Greatest Fight,movie,{Documentary},2009,6.6,379
The Witch,movie,"{Action, Comedy, History}",2015,6.9,2092
Ghost in the Shell: Arise - Border 1: Ghost Pain,movie,"{Action, Adventure, Sci-Fi}",2016,7,261905
50 to 1,movie,{Short},1909,6.3,624
Déjà Vu,movie,"{Action, Biography, Drama}",2014,7.3,540000
Tom and Jerrys Giant Adventure,movie,"{Action, Crime, Drama}",2013,6.5,21451
Badges of Fury,movie,"{Drama, Romance}",2013,6.3,29600
Virginity Sucks,movie,"{Comedy, Romance}",2014,6,153904
Scooby-Doo! Stage Fright,movie,"{Action, Biography, Drama}",2013,7.5,311436
The Man from U.N.C.L.E.,movie,"{Crime, Documentary}",1994,7.6,239
Philomena,movie,{Comedy},2014,6.3,334406
Boycott,movie,"{Action, Adventure, Crime}",2016,5.7,17595
The Judge,movie,"{Biography, Drama}",2013,6.7,2610
Our Kind of Traitor,movie,"{Fantasy, Short}",1906,6.4,839
The Imitation Game,movie,"{Action, Animation, Sci-Fi}",2013,7.1,4434
In the Heart of the Sea,movie,{Drama},2014,6.3,2302
Miss You Can Do It,movie,{Drama},2013,5.9,195
Miracle,movie,"{Adventure, Animation, Comedy}",2013,6,1128
Chinese Puzzle,movie,"{Action, Comedy, Crime}",2013,4.5,3188
Predestination,movie,{Comedy},2006,2.3,204
Kingsman: The Secret Service,movie,"{Adventure, Animation, Comedy}",2013,6.8,2473
Inferno,movie,"{Action, Adventure, Comedy}",2015,7.2,341308
Tumbledown,movie,"{Biography, Comedy, Drama}",2013,7.6,104578
Batman v Superman: Dawn of Justice,movie,"{Drama, History}",2001,7.1,1112
The Cheshire Murders,movie,"{Crime, Drama, Mystery}",2014,7.4,210545
The French Minister,movie,"{Action, Crime, Drama}",2016,6.2,24336
Mike Tyson: Undisputed Truth,movie,"{Biography, Drama, Thriller}",2014,8,839294
Cold Comes the Night,movie,"{Action, Adventure, Biography}",2015,6.9,150806
7 Pecados Rurais,movie,"{Documentary, Drama, Family}",2013,7.9,259
Scooby-Doo! Adventures: The Mystery Map,movie,{Drama},2013,5.8,136
Minions,movie,"{Comedy, Drama, Romance}",2013,6.9,15429
Instructions Not Included,movie,"{Action, Drama, Sci-Fi}",2014,7.4,313577
Ghost in the Shell: Arise - Border 2: Ghost Whispers,movie,"{Action, Adventure, Comedy}",2014,7.7,735560
Chef,movie,"{Action, Adventure, Crime}",2016,6.2,192831
The Trip 2,movie,"{Comedy, Music, Romance}",2015,6.2,8195
The Japanese Dog,movie,"{Action, Adventure, Sci-Fi}",2016,6.5,761498
Ted 2,movie,"{Crime, Documentary}",2013,6.5,3338
Young Ones,movie,{Comedy},2013,6.4,3973
Fifty Shades of Grey,movie,{Comedy},2013,7.3,3246
The Iceman Confesses: Secrets of a Mafia Hitman,movie,"{Action, Crime, Mystery}",2013,5.7,10239
Justice League: War,movie,{Comedy},2013,5.6,1463
Freaks of Nature,movie,"{Adventure, Comedy, Family}",2013,5.2,564
Last Letters Home: Voices of American Troops from the Battlefields of Iraq,movie,"{Adventure, Animation, Comedy}",2015,6.4,267287
The Danger of Love: The Carolyn Warmus Story,movie,"{Comedy, Drama}",2013,7.5,33141
"Two Days, One Night",movie,"{Action, Animation, Sci-Fi}",2013,7.1,3284
About Last Night,movie,"{Adventure, Comedy, Drama}",2014,7.3,237464
Aloha,movie,{Comedy},2012,2.7,416
The Fence,movie,{Drama},2013,6.5,608
"No Contract, No Cookies: The Stella DOro Strike",movie,{Comedy},2015,6.3,240475
Dead Silence,movie,"{Action, Drama, Romance}",2014,5.8,10549
Non-Stop,movie,"{Drama, Romance, Thriller}",2015,4.2,341235
Sex Tape,movie,"{Crime, Documentary}",2001,7.6,1676
Tammy,movie,"{Action, Adventure, Drama}",2014,5.8,72529
Golden Oldies 2,movie,"{Action, Adventure, Animation}",2014,7.2,38213
Horrible Bosses 2,movie,"{Comedy, Horror, Sci-Fi}",2015,5.9,13742
Dolphin Tale 2,movie,"{Documentary, History, War}",2004,7.4,125
Fury,movie,{Thriller},1992,4.9,210
Eu Não Faço a Menor Ideia do Que Eu Tô Fazendo Com a Minha Vida,movie,{Drama},2014,7.3,50979
Justin Biebers Believe,movie,"{Comedy, Romance}",2014,6,25398
El espiritu de la salsa,movie,"{Comedy, Drama, Romance}",2015,5.4,74048
Funeralii fericite,movie,"{Documentary, Short}",2010,6.8,286
Gimme Shelter,movie,"{Documentary, Short}",2010,5.9,79
Blended,movie,"{Action, Crime, Drama}",1997,6,1472
When the Game Stands Tall,movie,{Short},2011,7,317
We Stand Alone Together,movie,"{Action, Mystery, Thriller}",2014,6.9,279305
Spanish Affair,movie,"{Comedy, Romance}",2014,5.1,119302
Dark Light: The Art of Blind Photographers,movie,"{Comedy, Romance}",2014,4.9,55553
Six by Sondheim,movie,{Comedy},2013,4.1,117
Triangle: Remembering the Fire,movie,"{Comedy, Crime}",2014,6.3,187276
The Purge: Anarchy,movie,"{Drama, Family}",2014,6.4,9925
This Is Where I Leave You,movie,"{Action, Drama, War}",2014,7.6,563034
Ghost in the Shell: Arise - Border 3: Ghost Tears,movie,"{Comedy, Drama}",2012,5.5,474
Zoufalci,movie,"{Documentary, Music}",2013,1.6,17938
When I Knew,movie,{Documentary},2010,6,54
Regression,movie,{Comedy},2013,7.1,544
Run All Night,movie,{Drama},2013,6.4,9531
The Babadook,movie,"{Comedy, Romance}",2014,6.5,148282
Ouija,movie,"{Biography, Drama, Family}",2014,6.6,17114
Nightcrawler,movie,{Documentary},2001,8.6,2684
Batman: Assault on Arkham,movie,"{Comedy, Romance}",2014,6.5,18838
Loving Couples,movie,"{Biography, Documentary, Short}",2009,7.1,96
A Family Is a Family Is a Family: A Rosie ODonnell Celebration,movie,"{Biography, Documentary, History}",2013,7.9,1123
Mr. Turner,movie,"{Documentary, Short}",2011,7.8,190
Yves Saint Laurent,movie,"{Action, Horror, Sci-Fi}",2014,6.4,165678
Scooby-Doo! Haunted Holidays,movie,"{Comedy, Drama}",2014,6.6,90739
Cicero March,movie,"{Action, Animation, Sci-Fi}",2014,7.1,2977
Tusk,movie,"{Comedy, Drama}",2009,6,137
Crisis Hotline: Veterans Press 1,movie,{Documentary},2008,6.4,134
Fellow Traveller,movie,"{Crime, Drama, Mystery}",2015,5.6,43194
Trophy Kids,movie,"{Action, Crime, Thriller}",2015,6.6,116176
Americans in Bed,movie,"{Drama, Horror, Mystery}",2014,6.8,255277
Diagnosis Bipolar: Five Families Search for Answers,movie,"{Horror, Mystery, Thriller}",2014,4.5,59114
Mann V. Ford,movie,"{Crime, Drama, Thriller}",2014,7.8,620964
Positively Naked,movie,"{Action, Adventure, Animation}",2014,7.4,38358
Questioning Darwin,movie,{Comedy},1980,5.1,560
Studs Terkel: Listening to America,movie,"{Documentary, Drama, Family}",2010,5.9,124
Toxic Hot Seat,movie,"{Biography, Drama, History}",2014,6.8,27565
Gods Not Dead,movie,"{Biography, Drama}",2014,6.2,13222
David McCullough: Painting with Words,movie,"{Adventure, Animation, Comedy}",2012,6.7,959
Plastic Disasters,movie,"{Documentary, Short}",1966,6.3,175
Top Ten Monks,movie,"{Comedy, Horror}",2014,5.4,66125
Annabelle,movie,"{Documentary, Short}",2013,7.5,679
Love Child,movie,{Drama},1990,5.4,199
Son of Batman,movie,{Documentary},2013,7.1,1649
JLA Adventures: Trapped in Time,movie,{Documentary},2013,5.8,168
Pressure,movie,{Documentary},2009,5.8,110
Moms Night Out,movie,{Documentary},2010,7,208
The Pierre Woodman Story,movie,"{Documentary, Short}",2005,6.4,231
Little Rock Central: 50 Years Later,movie,{Documentary},2014,5.4,728
A Estrada 47,movie,{Documentary},2009,6.9,58
And So It Goes,movie,{Documentary},2013,7.5,176
Rock the Kasbah,movie,"{Drama, Romance}",2014,4.6,45674
San Andreas,movie,{Documentary},2008,7.5,167
Arabian Nights: Volume 1 - The Restless One,movie,{Documentary},2006,6,353
The November Man,movie,"{Documentary, Music, Short}",2010,6.7,77
Barbie: The Pearl Princess,movie,"{Horror, Mystery, Thriller}",2014,5.4,180194
Klondike Fever,movie,"{Crime, Documentary, News}",2014,5.6,341
Curious George: A Halloween Boo Fest,movie,"{Action, Adventure, Animation}",2014,6.7,31925
Colette,movie,"{Action, Animation, Sci-Fi}",2014,5.7,4470
Tüskevár,movie,"{Drama, Thriller}",2015,5.6,6206
Trespass Against Us,movie,{Comedy},2014,5.3,14604
Focus,movie,{Documentary},2009,6.1,234
Whisper,movie,{Documentary},2007,7.6,86
Quantum Love,movie,"{Drama, History, War}",2013,6.2,947
Danny Collins,movie,"{Comedy, Drama, Romance}",2014,5.9,15541
Get Hard,movie,"{Comedy, Music, War}",2015,5.5,12866
The Intern,movie,"{Action, Adventure, Thriller}",2015,6.1,262044
The Darkness,movie,{Drama},2015,6.9,2468
Goosebumps,movie,"{Action, Adventure, Crime}",2014,6.3,71270
Dioses y perros,movie,"{Animation, Family}",2014,6.2,2011
A Monster Calls,movie,{Adventure},1979,5.5,244
Ironclad: Battle for Blood,movie,"{Adventure, Animation, Comedy}",2013,6.9,561
A Match Made in Heaven,movie,"{Biography, Drama, History}",2013,6.2,633
The Legend of Tarzan,movie,"{Adventure, Drama, Family}",2012,4.7,302
Scooby-Doo! WrestleMania Mystery,movie,"{Action, Crime, Drama}",2016,5.8,9327
Fantastic Beasts and Where to Find Them,movie,"{Comedy, Crime, Drama}",2015,6.6,280442
Paycheck to Paycheck: The Life and Times of Katrina Gilbert,movie,{Romance},1996,6.3,318
All About Ann: Governor Richards of the Lone Star State,movie,"{Drama, Romance}",2014,6.2,3675
An Argentinian in New York,movie,"{Comedy, Drama, Music}",2015,7,33760
Flowers,movie,"{Comedy, Crime, Drama}",2015,6,149222
Taken 3,movie,"{Comedy, Drama}",2015,7.1,284427
Black Mass,movie,"{Horror, Thriller}",2016,4.5,17311
"Sleep, Baby, Sleep",movie,"{Adventure, Comedy, Fantasy}",2015,6.3,97438
Cantinflas,movie,{Drama},2014,5.9,400
Story of a Godfather,movie,"{Adventure, Drama, Family}",2016,7.4,95192
Youre Killing Me Susana,movie,"{Action, Adventure, Drama}",2014,4.3,3064
Lego Hero Factory: Savage Planet,movie,"{Drama, Romance}",1997,5.6,320
Regarding Susan Sontag,movie,"{Action, Adventure, Drama}",2016,6.2,191362
Wild Tales,movie,"{Animation, Comedy, Family}",2014,6.2,4078
Wild Card,movie,"{Adventure, Family, Fantasy}",2016,7.2,516256
One Last Hug: Three Days at Grief Camp,movie,{Documentary},2014,7.3,212
Pan,movie,"{Comedy, Documentary, History}",2014,7.9,187
Darker Than Night,movie,"{Comedy, Music}",1998,4.6,849
Code Name: Wolverine,movie,{Drama},2014,6.7,3227
To See the Sea,movie,"{Action, Crime, Thriller}",2014,6,207312
Curious George Swings Into Spring,movie,"{Biography, Crime, Drama}",2015,6.8,195556
"Hail, Caesar!",movie,"{Drama, Thriller}",1995,5.7,296
Skiptrace,movie,"{Biography, Comedy, Drama}",2014,6.6,4230
Penguins of Madagascar,movie,"{Crime, Drama, Thriller}",2013,6.8,390
Trainwreck,movie,"{Comedy, Drama, Romance}",2016,6.4,2414
The Hateful Eight,movie,"{Action, Adventure, Animation}",2011,5.8,231
The Young Kieslowski,movie,"{Biography, Documentary}",2014,6.8,821
The Woman Who Loved Elvis,movie,"{Comedy, Drama, Thriller}",2014,8.1,222097
Geostorm,movie,"{Action, Crime, Drama}",2015,5.6,61225
King Arthur: Legend of the Sword,movie,"{Documentary, Family, Short}",2014,7.2,135
The Lego Ninjago Movie,movie,"{Action, Adventure, Comedy}",2015,5.7,67843
Passengers,movie,{Horror},2014,4.3,1034
White Gate,movie,{Thriller},1996,4.4,421
The Club,movie,"{Comedy, Drama, Family}",2014,6.8,336
Ordeal in the Arctic,movie,"{Adventure, Animation, Family}",2013,6.4,264
The Admiral,movie,"{Comedy, Drama, Mystery}",2016,6.3,145011
I Have Tourettes But Tourettes Doesnt Have Me,movie,"{Action, Adventure, Comedy}",2016,5.6,22774
Playing It Cool,movie,"{Action, Adventure, Animation}",2014,6.6,105423
Nightingale,movie,"{Comedy, Drama, Romance}",2015,6.2,144106
The Iceman and the Psychiatrist,movie,"{Action, Adventure, Drama}",2016,5.7,47456
Mechanic: Resurrection,movie,"{Crime, Drama, Mystery}",2015,7.8,674909
Ghost in the Shell: Arise - Border 4: Ghost Stands Alone,movie,"{Comedy, Drama, Romance}",2014,6.5,917
The Remaining,movie,{Drama},1993,4.6,203
The Lego Movie 2: The Second Part,movie,"{Action, Sci-Fi, Thriller}",2017,5.3,122534
Mr. Holmes,movie,"{Action, Adventure, Drama}",2017,6.7,236711
Zero Percent,movie,"{Action, Adventure, Animation}",2017,6,30981
Fair Play,movie,"{Drama, Romance, Sci-Fi}",2016,7,462559
Before We Go,movie,{Drama},2014,6.7,268
The Secret Scripture,movie,{Documentary},2014,6.2,177
Still Alice,movie,{Drama},1993,5.6,299
Johnny Bravo Goes to Bollywood,movie,"{Action, Biography, Drama}",2015,7,10542
Scooby-Doo! Spooky Games,movie,"{Documentary, Family}",2005,7.5,153
Scooby-Doo! Frankencreepy,movie,"{Comedy, Romance}",2014,5.9,30569
Three Brothers,movie,"{Crime, Drama}",2014,6.4,2080
Nixon by Nixon: In His Own Words,movie,"{Crime, Documentary}",2003,7.7,1436
Barbie and the Secret Door,movie,"{Action, Adventure, Crime}",2016,5.7,95988
The Walk,movie,"{Action, Animation, Sci-Fi}",2014,7.1,2396
Doraemon: New Nobitas Great Demon-Peko and the Exploration Party of Five,movie,"{Drama, Horror, Mystery}",2014,4.3,9024
Scooby-Doo! and the Spooky Scarecrow,movie,"{Action, Adventure, Animation}",2019,6.5,79087
Virados do Avesso,movie,"{Crime, Drama, Family}",2015,6.8,68791
Tom and Jerry: The Lost Dragon,movie,"{Documentary, Drama}",2011,7.5,89
Katt Williams: Priceless: Afterlife,movie,"{Action, Adventure, Fantasy}",2017,5.4,210555
The Reaper,movie,"{Drama, Sport}",2014,6.8,1128
Shazam!,movie,"{Comedy, Drama, Romance}",2014,6.8,65267
5 American Kids - 5 American Handguns,movie,"{Drama, Romance}",2016,6.7,8650
A Good Job: Stories of the FDNY,movie,{Drama},2014,7.5,145254
Addiction,movie,"{Animation, Comedy, Family}",2011,5.9,248
Team Hot Wheels: The Origin of Awesome!,movie,"{Animation, Mystery, Short}",2012,6.6,470
The Zookeepers Wife,movie,"{Adventure, Animation, Comedy}",2014,6.6,2685
Grace: The Possession,movie,"{Comedy, Family, Fantasy}",2014,5.6,521
The Rewrite,movie,{Documentary},2014,7.5,613
The Handmaiden,movie,"{Animation, Family}",2014,5.7,2027
The Mountain Between Us,movie,"{Adventure, Biography, Drama}",2015,7.3,137112
The Huntsman: Winters War,movie,"{Action, Adventure, Animation}",2014,6.9,1315
Mistrial,movie,"{Animation, Family, Mystery}",2013,6.9,950
Mother Goose: A Rappin and Rhymin Special,movie,"{Comedy, Romance}",2014,4.1,509
Richard Jewell,movie,"{Adventure, Animation, Comedy}",2014,5.8,1072
Silencing the Song: An Afghan Fallen Star,movie,{Comedy},2014,6.4,578
Kong: Skull Island,movie,{Drama},2014,6.1,428
For Some Inexplicable Reason,movie,"{Action, Adventure, Comedy}",2019,7,393070
I Cant Do This But I Can Do That: A Film for Families about Learning Differences,movie,{Documentary},1995,6.4,182
The Final Girls,movie,{Documentary},2014,7.9,431
The Falling,movie,{Documentary},2007,6.3,173
All the Old Knives,movie,"{Adventure, Animation, Family}",2014,5.3,228
Indian Point: Imagining the Unimaginable,movie,"{Biography, Drama, History}",2017,7,47659
Portraits of a Lady,movie,"{Horror, Thriller}",2014,4.6,3920
The Boss Baby,movie,"{Comedy, Romance}",2014,6.3,22785
Vacation,movie,"{Drama, Romance, Thriller}",2016,8.1,180143
The Night Before,movie,"{Drama, Thriller}",2017,6.4,81961
Love & Friendship,movie,"{Action, Adventure, Drama}",2016,6.1,121670
Scooby-Doo! Ghastly Goals,movie,"{Action, Drama, Thriller}",1996,5.6,1036
Justice League: Throne of Atlantis,movie,"{Animation, Comedy, Music}",1997,5.3,161
Section 60: Arlington National Cemetery,movie,"{Biography, Crime, Drama}",2019,7.5,100341
The Man Who Killed Don Quixote,movie,"{Biography, Documentary}",2011,5.5,19
Suicide Squad,movie,"{Action, Adventure, Fantasy}",2017,6.7,357032
Aquaman,movie,"{Comedy, Drama}",2014,7.4,4730
Jigsaw,movie,"{Documentary, Family, Short}",2010,7.1,68
The Flash,movie,"{Comedy, Fantasy, Horror}",2015,6.5,53646
Bita e os Animais,movie,"{Drama, Mystery, Thriller}",2014,5.3,8232
The Gallows,movie,"{Mystery, Thriller}",2022,6.1,29643
3 Generations,movie,{Documentary},2004,5.7,97
Scooby-Doo! Moon Monster Madness,movie,{Documentary},2008,6.6,28
Hello Ladies: The Movie,movie,"{Adventure, Animation, Comedy}",2017,6.3,145649
Money Monster,movie,"{Adventure, Comedy}",2015,6.2,124295
Boonie Bears: Homeward Journey,movie,"{Comedy, Fantasy}",2015,6.4,83537
Incorregibles,movie,"{Comedy, Drama, Romance}",2016,6.4,26746
Santa Claus!,movie,"{Animation, Comedy, Family}",2014,6.3,532
The Racer,movie,"{Action, Adventure, Animation}",2015,6.6,25568
The Danish Girl,movie,{Documentary},2008,6.8,138
Children of God: Lost and Found,movie,"{Adventure, Comedy, Drama}",2018,6.3,22653
Tom and Jerry: Santas Little Helpers,movie,"{Action, Adventure, Fantasy}",2016,5.9,732347
War Dogs,movie,"{Action, Adventure, Fantasy}",2017,7.3,709415
The Flintstones & WWE: Stone Age Smackdown,movie,"{Action, Adventure, Fantasy}",2018,6.8,530210
Last Knights,movie,"{Horror, Mystery, Thriller}",2017,5.7,95877
Experimenter,movie,"{Action, Adventure, Fantasy}",2023,6.6,222669
Mr. Conservative: Goldwater on Goldwater,movie,{Animation},2014,,
The Secrets of the Golden Compass,movie,"{Horror, Mystery, Thriller}",2015,4.2,21872
Southside with You,movie,{Drama},2015,6,7092
The Great Wall,movie,"{Adventure, Animation, Comedy}",2015,6.4,2155
Namoo,movie,"{Comedy, TV Movie}",2014,,
Elf: Buddys Musical Christmas,movie,"{Action, Crime, Drama}",2016,6.5,107622
Spotlight,movie,"{Adventure, Animation, Comedy}",2013,5.6,146
Scooby-Doo! Mecha Mutt Menace,movie,"{Action, Comedy, Crime}",2007,4.5,452
Schmitke,movie,{Comedy},2014,6.3,854
