title,type,genres,releaseyear,averagerating,votes
The Crime of Padre Amaro,movie,"{Drama, Romance}",2002,6.7,14567
Spider-Man,movie,"{Action, Adventure, Sci-Fi}",2002,7.4,901564
Spider-Man 2,movie,"{Action, Adventure, Sci-Fi}",2004,7.5,727947
Spider-Man 3,movie,"{Action, Adventure, Sci-Fi}",2007,6.3,653406
Constantine,movie,"{Action, Fantasy, Horror}",2005,7,383523
The Mummy,movie,"{Action, Adventure, Fantasy}",1999,7.1,472575
Rear Window,movie,"{Mystery, Thriller}",1954,8.5,533583
Apollo 13,movie,"{Adventure, Drama, History}",1995,7.7,321123
The Birds,movie,"{Drama, Horror, Mystery}",1963,7.6,209572
Frenzy,movie,{Thriller},1972,7.4,50399
The Man Who Knew Too Much,movie,"{Drama, Thriller}",1956,7.4,71267
The Wild Bunch,movie,"{Action, Adventure, Drama}",1969,7.9,91728
The Da Vinci Code,movie,"{Mystery, Thriller}",2006,6.6,465770
Titanic,movie,"{Drama, Romance}",1997,7.9,1312170
City of God,movie,"{Crime, Drama}",2002,8.6,817851
Full Metal Jacket,movie,"{Drama, War}",1987,8.2,806162
The Matrix,movie,"{Action, Sci-Fi}",1999,8.7,2102529
The Matrix Reloaded,movie,"{Action, Sci-Fi}",2003,7.2,641907
The Matrix Revolutions,movie,"{Action, Sci-Fi}",2003,6.7,552521
Men in Black,movie,"{Action, Adventure, Comedy}",1997,7.3,626244
Men in Black II,movie,"{Action, Adventure, Comedy}",2002,6.2,411717
Poltergeist,movie,"{Horror, Thriller}",1982,7.3,185391
The Last Samurai,movie,"{Action, Drama}",2003,7.8,480109
Wild Things,movie,"{Crime, Drama, Mystery}",1998,6.6,133857
The Bodyguard,movie,"{Action, Drama, Music}",1992,6.4,150991
Ghostbusters,movie,"{Action, Comedy, Fantasy}",1984,7.8,462610
Grease,movie,"{Comedy, Musical, Romance}",1978,7.2,307700
Trainspotting,movie,{Drama},1996,8.1,737661
Interview with the Vampire,movie,"{Drama, Fantasy, Horror}",1994,7.5,356218
The Wizard of Oz,movie,"{Adventure, Family, Fantasy}",1939,8.1,436810
When Harry Met Sally...,movie,"{Comedy, Drama, Romance}",1989,7.7,248609
Troy,movie,"{Adventure, Drama}",2004,7.3,582002
On the Waterfront,movie,"{Crime, Drama, Thriller}",1954,8.1,168258
Twister,movie,"{Action, Adventure, Thriller}",1996,6.5,238292
Ben-Hur,movie,"{Adventure, Drama}",1959,8.1,257725
Oldboy,movie,"{Action, Drama, Mystery}",2003,8.3,655668
Harry Potter and the Sorcerers Stone,movie,"{Adventure, Family, Fantasy}",2001,7.6,878662
Harry Potter and the Chamber of Secrets,movie,"{Adventure, Family, Fantasy}",2002,7.4,709530
Harry Potter and the Prisoner of Azkaban,movie,"{Adventure, Family, Fantasy}",2004,7.9,709548
Harry Potter and the Goblet of Fire,movie,"{Adventure, Family, Fantasy}",2005,7.7,698166
Harry Potter and the Order of the Phoenix,movie,"{Action, Adventure, Family}",2007,7.5,648820
Pulp Fiction,movie,"{Crime, Drama}",1994,8.9,2274202
Contact,movie,"{Drama, Mystery, Sci-Fi}",1997,7.5,298546
The Bridges of Madison County,movie,"{Drama, Romance}",1995,7.6,90931
The Shining,movie,"{Drama, Horror}",1980,8.4,1137500
Top Gun,movie,"{Action, Drama}",1986,6.9,515309
The Sixth Sense,movie,"{Drama, Mystery, Thriller}",1999,8.2,1076242
V for Vendetta,movie,"{Action, Drama, Sci-Fi}",2005,8.1,1196789
The Evil Dead,movie,{Horror},1981,7.4,238788
Harry Potter and the Half-Blood Prince,movie,"{Action, Adventure, Family}",2009,7.6,610699
Goodfellas,movie,"{Biography, Crime, Drama}",1990,8.7,1289227
Gone with the Wind,movie,"{Drama, Romance, War}",1939,8.2,339694
The Passion of Joan of Arc,movie,"{Biography, Drama, History}",1928,8.1,62442
Gattaca,movie,"{Drama, Sci-Fi, Thriller}",1997,7.7,329722
Kolya,movie,"{Comedy, Drama, Music}",1996,7.7,16408
Platoon,movie,"{Drama, War}",1986,8.1,447253
Se7en,movie,"{Crime, Drama, Mystery}",1995,8.6,1850524
Shrek,movie,"{Adventure, Animation, Comedy}",2001,7.9,753579
